Designator,Mid X,Mid Y,Rotation,Layer
C1,133.95,-112.3,270.0,top
C10,138.25,-108.2,180.0,top
C2,135.7,-112.3,270.0,top
C3,144.95,-112.3,90.0,top
C4,146.7,-112.3,90.0,top
C5,154.3,-102.1875,90.0,top
C6,138.75,-102.3,90.0,top
C7,140.3,-102.3,90.0,top
C8,137.2,-102.3,90.0,top
C9,138.25,-106.55,180.0,top
D1,134.25,-93.5,90.0,top
D2,150.75,-112.3,270.0,top
D3,147.4,-118.75,180.0,top
J1,124.25,-96.57,180.0,top
J2,124.15,-106.0,180.0,top
J3,124.17,-115.47,180.0,top
J4,149.08,-85.455,180.0,top
J5,136.81,-85.455,180.0,top
J6,135.245,-124.675,180.0,top
J7,160.125,-102.15,270.0,top
J8,160.125,-93.7,270.0,top
J9,147.345,-124.675,180.0,top
Q1,159.53,-117.36,180.0,top
R1,151.75,-93.0,270.0,top
R2,150.0,-93.0,270.0,top
R3,149.0,-112.3,270.0,top
R4,149.9,-116.1,0.0,top
R5,155.9,-102.1875,90.0,top
R6,155.9,-93.8375,90.0,top
R7,146.25,-93.0,270.0,top
R8,152.5,-112.25,270.0,top
SW1,140.25,-93.5,180.0,top
U1,140.2,-115.05,90.0,top
U2,146.5,-102.25,270.0,top
Y1,133.35,-102.2,90.0,top
