Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,DNP
"C1, C3, C8",0603,3,1uF,C14664
"C10, C9",0603,2,22pF,C105620
"C2, C4, C5, C6",0603,4,0.1uF,C92490
C7,0603,1,4.7uF,C326580
D2,0603,1,LED,C125093
D3,D_SOD-123F,1,1N4007,C2902912
"DRA1, DRA2",DINRailAdapter_3xM3_PhoenixContact_1201578,2,1201578,C3019632
J1,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,FAN1,C17700994 
J2,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,FAN2,C17700994 
J3,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,FAN3,DNP
J4,PinHeader_1x07_P2.54mm_Vertical,1,SPI,DNP
J5,PinHeader_1x04_P2.54mm_Vertical,1,UART,DNP
J6,TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal,1,12V IN, C8465
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,TEMP1,DNP
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,TEMP2,DNP
J9,TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal,1,RELAY, C8465
L1,PE51688NL,1,PE-51688NL,C5718373
"Q1, Q2",SOT-23,2,IRLML0030,C67272
"R1, R2",0603,2,4K7,C99782
"R10, R3",0603,2,100,C105588
"R11, R4",0603,2,10K,C98220
"R12, R13, R9",0603,3,25R,C99782
"R5, R6, R7",0603,3,1K,C22548
R8,0603,1,330,C105881
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RESET,C318938
U1,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C14877
U3,SO-8_3.9x4.9mm_P1.27mm,1,LM2904,C105411
Y1,Crystal_HC49-U_Vertical,1,Crystal, C16212
