Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C8",0603,3,1uF,C14664
"C10, C9",0603,2,22pF,C105620
"C2, C4, C5, C6",0603,4,0.1uF,C92490
C7,0603,1,4.7uF,C326580
D1,D_SOD-523,1,Safety Diode,C145179
D2,0603,1,LED,C125093
D3,D_SOD-123F,1,1N4007,C2902912
J1,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,FAN1,C240840
J2,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,FAN2,C240840
J3,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,FAN3,C240840
J4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,CT,C7429633
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,UART,C7429634
J6,TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal,1,12V IN, C8465
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,TEMP1,C7429632
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,TEMP2,C7429632
J9,TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal,1,RELAY, C8465
Q1,TO-220-3_Horizontal_TabDown,1,IRF540N,C2566
"R1, R2",0603,2,4K7,C99782
R3,0603,1,100,C105588
R4,0603,1,10K,C98220
"R5, R6, R7",0603,3,1K,C22548
R8,0603,1,330,C105881
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RESET,C318938
U1,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C14877
Y1,Crystal_HC49-U_Vertical,1,Crystal, C16212
